id,adresa,prum_cena
4441,"Kocínova 135, 397 01 Písek",132.44117647058823
5169,"Mlýnská 6, 370 01 České Budějovice",255.0
4437,"Heydukova 98, 397 01 Písek",nan
4013,"Náměstí Svornosti 8, 381 01 Český Krumlov",74.0
8130,"Ondříčka 52, 370 11 České Budějovice",nan
3076,"Náměstí Přátelství 2800, 390 05 Tábor",nan
2889,"Průběžná 6, 370 04 České Budějovice",76.714285714285708
3944,"Široká 89, 381 01 Český Krumlov",220.0
4766,"Fr. Ondříčka 46, 370 01 České Budějovice",75.666666666666671
3490,"Kněžská 31, 370 01 České Budějovice",nan
3074,"Žižkovo náměstí 17, 390 01 Tábor",159.0
3337,"MERCURY Centrum, 2np., 370 01 České Budějovice",66.851851851851848
3438,"Varšavská 2729, 390 05 Tábor",78.714285714285708
5860,"Libušina 312, 391 65 Bechyně",nan
5780,"Moraveč 1, 391 37 Chotoviny",69.15384615384616
5603,"Tylova 171, 379 01 Třeboň",85.0
3049,"Husovo náměstí 529, 390 02 Tábor",70.0
3666,"Kněžská 4, 370 01 České Budějovice",109.0
2900,"Ovocná 63, 390 01 Tábor",153.5
7950,"Žižkovo náměstí 22, 390 01 Tábor",86.714285714285708
3097,"Světlogorská 2873, Kpt. Nálepky 2396, 39005,39003 Tábor 5,Tábor 3",145.47368421052633
3176,"Hroznová 25, 370 01 České Budějovice",nan
9534,"Hotel a restaurace U Martina, 382 18 Rožmberk nad Vltavou 79",81.25
5424,"Jarošovská ulice 55/II, 377 01 Jindřichův Hradec",nan
2955,"Hradební 3037, 390 01 Tábor",65.0
3085,"Vančurova 2904, 390 02 Tábor",69.799999999999997
4020,"Šumavská 597, 381 01 Český Krumlov",165.0
10736,"Guldenerova 17, 326 00 Plzeň",nan
10368,"nám. T. G. Masaryka 545, 301 38 Plzeň",66.700000000000003
2063,"Přemyslova 54, 301 00 Plzeň",65.400000000000006
10190,"Radčická 2, 360 01 Plzeň",83.0
9888,"Sladovnická 4, 326 00 Plzeň",76.333333333333329
1619,"Lidická 13, 301 00 Plzeň",nan
1636,"Bezručova 9, 301 00 Plzeň",20.0
1674,"Purkyňova 29, 301 00 Plzeň",nan
3955,"Riegrova 12, 301 00 Plzeň",nan
1661,"Pražská 1, 301 00 Plzeň",56.333333333333336
