id,adresa,prum_cena
6872,"Štětkova 1638/18, 140 00 Praha 4",118.0
6705,"Roztylská 19, 143 00 Praha 4",115.88888888888889
7904,"Senovážné náměstí 13, 110 00 Praha 1",235.0
4761,"Türkova 5, 149 00 Praha 4",119.8
2761,"Mánesova 62, 120 00 Praha 2",76.71428571428571
4734,"Jugoslávská 8, 120 00 Praha 2",123.7
6978,"Školská 38, 110 00 Praha 1",39.8
6113,"Malé náměstí 2, 110 00 Praha 1",168.42857142857142
7044,"Sokolovská 65/26, 180 00 Praha 8",86.0
9090,"Olbrachtova 9, 140 00 Praha 4",116.2
2694,"Rybná 26, 110 00 Praha 1",132.47619047619048
6306,"Balbínova 19, 120 00 Praha 2",91.0
1643,"U Klikovky 10, 150 00 Praha 5",113.25
3656,"Dukelských hrdinů 43, 170 00 Praha 7",71.4
9288,"Vodičkova 8, 110 00 Praha 1",130.5
10636,"Třinecká 673, 199 00 Praha 9",82.0
10572,"Na Florenci 29, 110 00 Praha 1",104.0
10556,"Hornokrčská 39, 140 00 Praha 4",243.83333333333334
10378,"Křižíkova 17, 186 00 Praha 8",85.71428571428571
10330,"Květnová 598/48, 182 00 Praha 8",77.375
4137,"Sokolovska 42, 186 00 Praha 8",180.0
10046,"Jugoslávská 18, 120 00 Praha 2",178.62962962962962
10026,"Havelská 27, 110 00 Praha 1",347.5
9952,"Smetanovo nábřeží 14 - Karolíny Světlé 33, 110 00 Praha 1",55.0
7766,"Křižíkova 180/28, 186 00 Praha 8",38.916666666666664
9828,"Nuselská 76, 140 00 Praha 4",69.0
9726,"Milady Horákové 125, 160 00 Praha 6",96.17647058823529
9500,"Mariánské náměstí 98/1, 115 72 Praha 1",48.81818181818182
9494,"Náměstí Míru 13, 120 00 Praha 2",100.16666666666667
9440,"28. října 377/13, 110 00 Praha 1",143.33333333333334
9372,"Tržiště 11, 110 00 Praha 1",40.470588235294116
7058,"Lochotínská 656, 109 00 Praha 15",25.0
9286,"Masná 17, 110 00 Praha 1",94.5
1221,"Václavské náměstí 7, 111 24 Praha 1",233.0
9080,"Na Vyhlídce 408/19, 190 00 Praha 9",54.111111111111114
8918,"Strojnická 25, 170 00 Praha 7",97.36842105263158
4791,"Národní 17, 110 00 Praha 1",124.71428571428571
3006,"Před nádražím 1/6, 140 00 Praha 4",370.0
4420,"Staroměstské náměstí 549/19, 110 00 Praha 1",69.0
8506,"Říčanská 7, 101 00 Praha 10",63.38709677419355
8614,"Nad Dalejským údolím 9, 155 00 Praha 5",72.33333333333333
8554,"Křemencova 1738, 110 00 Praha1",89.86666666666666
4625,"Podbabská 1589/1, 160 00 Praha 6",149.0
6642,"Benediktská 3, 110 00 Praha 1",128.0
905,"Evropská 26, 160 00 Praha 6",140.5
8416,"Novotného lávka 200/3, 110 00 Praha 1",295.4
426,"Myslíkova 8, 120 00 Praha 2",88.0
8098,"Újezd 33, 118 00 Praha 1",81.25
8176,"Nuselská 159/114, 140 00 Praha 4",172.33333333333334
8114,"Kafkova 16, 160 00 Praha 6",98.45833333333333
4025,"Na Bělidle 38, 150 00 Praha 5",68.84375
8058,"Londýnská 22, 120 00 Praha 2",118.58928571428571
8014,"Sídlištní 1/1167, 165 00 Praha 6",106.6
3466,"OC Nový Smíchov, Plzeňská 8, 155 00 Praha 5",79.0
975,"Ostrovní 32, 110 00 Praha 1",106.66666666666667
7802,"Vodní 11, 150 00 Praha 5",15.0
4187,"Jagellonská 21, 130 00 Praha 3",88.47058823529412
624,"Národní 22, 110 00 Praha 1",73.61538461538461
2630,"Milady Horákové 63, 170 00 Praha 7",96.25
3942,"V Jámě 8/1371, 110 00 Praha 1",58.285714285714285
